"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2021 00:00 - 01.01.2021 00:15","43935","45467"
"01.01.2021 00:15 - 01.01.2021 00:30","43738","45245"
"01.01.2021 00:30 - 01.01.2021 00:45","43247","44881"
"01.01.2021 00:45 - 01.01.2021 01:00","43162","44639"
"01.01.2021 01:00 - 01.01.2021 01:15","42453","43972"
"01.01.2021 01:15 - 01.01.2021 01:30","42178","43450"
"01.01.2021 01:30 - 01.01.2021 01:45","41777","42943"
"01.01.2021 01:45 - 01.01.2021 02:00","41401","42764"
"01.01.2021 02:00 - 01.01.2021 02:15","41128","42037"
"01.01.2021 02:15 - 01.01.2021 02:30","41048","41646"
"01.01.2021 02:30 - 01.01.2021 02:45","40765","41394"
"01.01.2021 02:45 - 01.01.2021 03:00","40493","41091"
"01.01.2021 03:00 - 01.01.2021 03:15","40577","40930"
"01.01.2021 03:15 - 01.01.2021 03:30","40639","40848"
"01.01.2021 03:30 - 01.01.2021 03:45","40435","40769"
"01.01.2021 03:45 - 01.01.2021 04:00","40310","40610"
"01.01.2021 04:00 - 01.01.2021 04:15","40354","40926"
"01.01.2021 04:15 - 01.01.2021 04:30","40204","40793"
"01.01.2021 04:30 - 01.01.2021 04:45","40109","40741"
"01.01.2021 04:45 - 01.01.2021 05:00","40095","40503"
"01.01.2021 05:00 - 01.01.2021 05:15","40018","40337"
"01.01.2021 05:15 - 01.01.2021 05:30","39673","39965"
"01.01.2021 05:30 - 01.01.2021 05:45","39459","39959"
"01.01.2021 05:45 - 01.01.2021 06:00","39010","40014"
"01.01.2021 06:00 - 01.01.2021 06:15","38548","39568"
"01.01.2021 06:15 - 01.01.2021 06:30","38342","39445"
"01.01.2021 06:30 - 01.01.2021 06:45","38437","39395"
"01.01.2021 06:45 - 01.01.2021 07:00","38058","39489"
"01.01.2021 07:00 - 01.01.2021 07:15","38384","39678"
"01.01.2021 07:15 - 01.01.2021 07:30","38462","39855"
"01.01.2021 07:30 - 01.01.2021 07:45","38836","40085"
"01.01.2021 07:45 - 01.01.2021 08:00","39121","40254"
"01.01.2021 08:00 - 01.01.2021 08:15","39753","40608"
"01.01.2021 08:15 - 01.01.2021 08:30","39898","40794"
"01.01.2021 08:30 - 01.01.2021 08:45","40660","41168"
"01.01.2021 08:45 - 01.01.2021 09:00","40783","41759"
"01.01.2021 09:00 - 01.01.2021 09:15","41750","42668"
"01.01.2021 09:15 - 01.01.2021 09:30","42307","43276"
"01.01.2021 09:30 - 01.01.2021 09:45","42824","43616"
"01.01.2021 09:45 - 01.01.2021 10:00","43075","44214"
"01.01.2021 10:00 - 01.01.2021 10:15","43607","45123"
"01.01.2021 10:15 - 01.01.2021 10:30","44727","45843"
"01.01.2021 10:30 - 01.01.2021 10:45","45295","46326"
"01.01.2021 10:45 - 01.01.2021 11:00","45667","46916"
"01.01.2021 11:00 - 01.01.2021 11:15","46562","47569"
"01.01.2021 11:15 - 01.01.2021 11:30","47161","48407"
"01.01.2021 11:30 - 01.01.2021 11:45","47600","49007"
"01.01.2021 11:45 - 01.01.2021 12:00","47685","49214"
"01.01.2021 12:00 - 01.01.2021 12:15","47477","49812"
"01.01.2021 12:15 - 01.01.2021 12:30","47172","49926"
"01.01.2021 12:30 - 01.01.2021 12:45","46929","49822"
"01.01.2021 12:45 - 01.01.2021 13:00","46585","49431"
"01.01.2021 13:00 - 01.01.2021 13:15","46227","49252"
"01.01.2021 13:15 - 01.01.2021 13:30","45956","48989"
"01.01.2021 13:30 - 01.01.2021 13:45","45801","48793"
"01.01.2021 13:45 - 01.01.2021 14:00","45197","48478"
"01.01.2021 14:00 - 01.01.2021 14:15","44996","48133"
"01.01.2021 14:15 - 01.01.2021 14:30","45150","47946"
"01.01.2021 14:30 - 01.01.2021 14:45","44637","47859"
"01.01.2021 14:45 - 01.01.2021 15:00","44605","47706"
"01.01.2021 15:00 - 01.01.2021 15:15","44858","48020"
"01.01.2021 15:15 - 01.01.2021 15:30","45002","47987"
"01.01.2021 15:30 - 01.01.2021 15:45","44937","48307"
"01.01.2021 15:45 - 01.01.2021 16:00","44821","48466"
"01.01.2021 16:00 - 01.01.2021 16:15","45408","48705"
"01.01.2021 16:15 - 01.01.2021 16:30","46031","49387"
"01.01.2021 16:30 - 01.01.2021 16:45","46958","50526"
"01.01.2021 16:45 - 01.01.2021 17:00","47881","51566"
"01.01.2021 17:00 - 01.01.2021 17:15","49654","52818"
"01.01.2021 17:15 - 01.01.2021 17:30","50041","53514"
"01.01.2021 17:30 - 01.01.2021 17:45","50499","53990"
"01.01.2021 17:45 - 01.01.2021 18:00","50596","54245"
"01.01.2021 18:00 - 01.01.2021 18:15","51524","54458"
"01.01.2021 18:15 - 01.01.2021 18:30","51294","54455"
"01.01.2021 18:30 - 01.01.2021 18:45","51152","54519"
"01.01.2021 18:45 - 01.01.2021 19:00","50565","54055"
"01.01.2021 19:00 - 01.01.2021 19:15","50900","53882"
"01.01.2021 19:15 - 01.01.2021 19:30","50033","53434"
"01.01.2021 19:30 - 01.01.2021 19:45","49766","53157"
"01.01.2021 19:45 - 01.01.2021 20:00","49722","52811"
"01.01.2021 20:00 - 01.01.2021 20:15","49279","51990"
"01.01.2021 20:15 - 01.01.2021 20:30","49002","51303"
"01.01.2021 20:30 - 01.01.2021 20:45","48541","50625"
"01.01.2021 20:45 - 01.01.2021 21:00","48304","50143"
"01.01.2021 21:00 - 01.01.2021 21:15","48027","49778"
"01.01.2021 21:15 - 01.01.2021 21:30","48008","49340"
"01.01.2021 21:30 - 01.01.2021 21:45","47518","49006"
"01.01.2021 21:45 - 01.01.2021 22:00","47534","48836"
"01.01.2021 22:00 - 01.01.2021 22:15","48108","49440"
"01.01.2021 22:15 - 01.01.2021 22:30","47603","48935"
"01.01.2021 22:30 - 01.01.2021 22:45","47029","48272"
