"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2021 22:45 - 01.01.2021 23:00","46611","47704"
"01.01.2021 23:00 - 01.01.2021 23:15","45441","47016"
"01.01.2021 23:15 - 01.01.2021 23:30","44590","46568"
"01.01.2021 23:30 - 01.01.2021 23:45","44052","45964"
"01.01.2021 23:45 - 02.01.2021 00:00","43585","45252"
"02.01.2021 00:00 - 02.01.2021 00:15","43725","44285"
"02.01.2021 00:15 - 02.01.2021 00:30","43046","43633"
"02.01.2021 00:30 - 02.01.2021 00:45","42577","43169"
"02.01.2021 00:45 - 02.01.2021 01:00","42150","42760"
"02.01.2021 01:00 - 02.01.2021 01:15","41975","42225"
"02.01.2021 01:15 - 02.01.2021 01:30","41617","41820"
"02.01.2021 01:30 - 02.01.2021 01:45","41471","41460"
"02.01.2021 01:45 - 02.01.2021 02:00","41325","41081"
"02.01.2021 02:00 - 02.01.2021 02:15","41002","40819"
"02.01.2021 02:15 - 02.01.2021 02:30","40825","40694"
"02.01.2021 02:30 - 02.01.2021 02:45","40841","40575"
"02.01.2021 02:45 - 02.01.2021 03:00","40689","40555"
"02.01.2021 03:00 - 02.01.2021 03:15","40595","40374"
"02.01.2021 03:15 - 02.01.2021 03:30","40647","40402"
"02.01.2021 03:30 - 02.01.2021 03:45","40657","40651"
"02.01.2021 03:45 - 02.01.2021 04:00","40694","40674"
"02.01.2021 04:00 - 02.01.2021 04:15","40636","40970"
"02.01.2021 04:15 - 02.01.2021 04:30","40513","41126"
"02.01.2021 04:30 - 02.01.2021 04:45","40758","41272"
"02.01.2021 04:45 - 02.01.2021 05:00","40654","41321"
"02.01.2021 05:00 - 02.01.2021 05:15","40714","41594"
"02.01.2021 05:15 - 02.01.2021 05:30","40871","41369"
"02.01.2021 05:30 - 02.01.2021 05:45","41093","41570"
"02.01.2021 05:45 - 02.01.2021 06:00","41427","41905"
"02.01.2021 06:00 - 02.01.2021 06:15","41632","42393"
"02.01.2021 06:15 - 02.01.2021 06:30","42111","42654"
"02.01.2021 06:30 - 02.01.2021 06:45","42322","42995"
"02.01.2021 06:45 - 02.01.2021 07:00","42963","43208"
"02.01.2021 07:00 - 02.01.2021 07:15","43658","43875"
"02.01.2021 07:15 - 02.01.2021 07:30","44081","44366"
"02.01.2021 07:30 - 02.01.2021 07:45","45011","44741"
"02.01.2021 07:45 - 02.01.2021 08:00","46038","45324"
"02.01.2021 08:00 - 02.01.2021 08:15","47129","45841"
"02.01.2021 08:15 - 02.01.2021 08:30","47932","46555"
"02.01.2021 08:30 - 02.01.2021 08:45","48415","46989"
"02.01.2021 08:45 - 02.01.2021 09:00","49060","47674"
"02.01.2021 09:00 - 02.01.2021 09:15","50176","48677"
"02.01.2021 09:15 - 02.01.2021 09:30","51144","49469"
"02.01.2021 09:30 - 02.01.2021 09:45","51749","50084"
"02.01.2021 09:45 - 02.01.2021 10:00","52266","50608"
"02.01.2021 10:00 - 02.01.2021 10:15","52943","51224"
"02.01.2021 10:15 - 02.01.2021 10:30","53266","51854"
"02.01.2021 10:30 - 02.01.2021 10:45","53575","52445"
"02.01.2021 10:45 - 02.01.2021 11:00","53894","52768"
"02.01.2021 11:00 - 02.01.2021 11:15","54143","53400"
"02.01.2021 11:15 - 02.01.2021 11:30","54741","54031"
"02.01.2021 11:30 - 02.01.2021 11:45","54870","54387"
"02.01.2021 11:45 - 02.01.2021 12:00","54883","54601"
"02.01.2021 12:00 - 02.01.2021 12:15","54574","55158"
"02.01.2021 12:15 - 02.01.2021 12:30","54485","55149"
"02.01.2021 12:30 - 02.01.2021 12:45","54088","55118"
"02.01.2021 12:45 - 02.01.2021 13:00","53855","54866"
"02.01.2021 13:00 - 02.01.2021 13:15","53545","54631"
"02.01.2021 13:15 - 02.01.2021 13:30","53286","54293"
"02.01.2021 13:30 - 02.01.2021 13:45","53273","54030"
"02.01.2021 13:45 - 02.01.2021 14:00","52573","53723"
"02.01.2021 14:00 - 02.01.2021 14:15","52487","53352"
"02.01.2021 14:15 - 02.01.2021 14:30","52472","53165"
"02.01.2021 14:30 - 02.01.2021 14:45","52291","53103"
"02.01.2021 14:45 - 02.01.2021 15:00","52180","52874"
"02.01.2021 15:00 - 02.01.2021 15:15","52188","53055"
"02.01.2021 15:15 - 02.01.2021 15:30","52097","53178"
"02.01.2021 15:30 - 02.01.2021 15:45","52322","53339"
"02.01.2021 15:45 - 02.01.2021 16:00","52545","53347"
"02.01.2021 16:00 - 02.01.2021 16:15","52857","53941"
"02.01.2021 16:15 - 02.01.2021 16:30","53389","54503"
"02.01.2021 16:30 - 02.01.2021 16:45","54095","55448"
"02.01.2021 16:45 - 02.01.2021 17:00","55012","56285"
"02.01.2021 17:00 - 02.01.2021 17:15","56047","57393"
"02.01.2021 17:15 - 02.01.2021 17:30","56620","57882"
"02.01.2021 17:30 - 02.01.2021 17:45","57060","58511"
"02.01.2021 17:45 - 02.01.2021 18:00","57475","58674"
"02.01.2021 18:00 - 02.01.2021 18:15","57628","58662"
"02.01.2021 18:15 - 02.01.2021 18:30","57096","58626"
"02.01.2021 18:30 - 02.01.2021 18:45","56923","58375"
"02.01.2021 18:45 - 02.01.2021 19:00","56468","57980"
"02.01.2021 19:00 - 02.01.2021 19:15","56178","57370"
"02.01.2021 19:15 - 02.01.2021 19:30","55599","57006"
"02.01.2021 19:30 - 02.01.2021 19:45","54920","56423"
"02.01.2021 19:45 - 02.01.2021 20:00","54428","55672"
"02.01.2021 20:00 - 02.01.2021 20:15","53630","54518"
"02.01.2021 20:15 - 02.01.2021 20:30","52297","53540"
"02.01.2021 20:30 - 02.01.2021 20:45","51217","52781"
"02.01.2021 20:45 - 02.01.2021 21:00","50592","51900"
"02.01.2021 21:00 - 02.01.2021 21:15","50296","51470"
"02.01.2021 21:15 - 02.01.2021 21:30","49598","50991"
"02.01.2021 21:30 - 02.01.2021 21:45","49176","50522"
"02.01.2021 21:45 - 02.01.2021 22:00","48814","50231"
"02.01.2021 22:00 - 02.01.2021 22:15","49327","50839"
"02.01.2021 22:15 - 02.01.2021 22:30","48774","50327"
"02.01.2021 22:30 - 02.01.2021 22:45","48163","49615"
"02.01.2021 22:45 - 02.01.2021 23:00","47442","49136"
"02.01.2021 23:00 - 02.01.2021 23:15","46544","48783"
"02.01.2021 23:15 - 02.01.2021 23:30","45924","48204"
"02.01.2021 23:30 - 02.01.2021 23:45","45217","47902"
"02.01.2021 23:45 - 03.01.2021 00:00","44643","47330"
"03.01.2021 00:00 - 03.01.2021 00:15","43275","46064"
"03.01.2021 00:15 - 03.01.2021 00:30","42692","45259"
"03.01.2021 00:30 - 03.01.2021 00:45","42157","44712"
"03.01.2021 00:45 - 03.01.2021 01:00","41790","44234"
"03.01.2021 01:00 - 03.01.2021 01:15","41117","43781"
"03.01.2021 01:15 - 03.01.2021 01:30","40573","43171"
"03.01.2021 01:30 - 03.01.2021 01:45","40019","42700"
"03.01.2021 01:45 - 03.01.2021 02:00","39661","42464"
"03.01.2021 02:00 - 03.01.2021 02:15","39765","42171"
"03.01.2021 02:15 - 03.01.2021 02:30","39615","41931"
"03.01.2021 02:30 - 03.01.2021 02:45","39287","41745"
"03.01.2021 02:45 - 03.01.2021 03:00","39201","41740"
"03.01.2021 03:00 - 03.01.2021 03:15","39180","41832"
"03.01.2021 03:15 - 03.01.2021 03:30","39280","41930"
"03.01.2021 03:30 - 03.01.2021 03:45","38968","42054"
"03.01.2021 03:45 - 03.01.2021 04:00","39101","42069"
"03.01.2021 04:00 - 03.01.2021 04:15","39008","42358"
"03.01.2021 04:15 - 03.01.2021 04:30","39008","42368"
"03.01.2021 04:30 - 03.01.2021 04:45","38938","42494"
"03.01.2021 04:45 - 03.01.2021 05:00","38935","42681"
"03.01.2021 05:00 - 03.01.2021 05:15","38951","43184"
"03.01.2021 05:15 - 03.01.2021 05:30","38616","43054"
"03.01.2021 05:30 - 03.01.2021 05:45","38629","43140"
"03.01.2021 05:45 - 03.01.2021 06:00","38257","42904"
"03.01.2021 06:00 - 03.01.2021 06:15","38013","42691"
"03.01.2021 06:15 - 03.01.2021 06:30","37845","42910"
"03.01.2021 06:30 - 03.01.2021 06:45","38157","43138"
"03.01.2021 06:45 - 03.01.2021 07:00","38077","43430"
"03.01.2021 07:00 - 03.01.2021 07:15","38381","43829"
"03.01.2021 07:15 - 03.01.2021 07:30","38688","43947"
"03.01.2021 07:30 - 03.01.2021 07:45","39084","44398"
"03.01.2021 07:45 - 03.01.2021 08:00","39802","45161"
"03.01.2021 08:00 - 03.01.2021 08:15","40598","46172"
"03.01.2021 08:15 - 03.01.2021 08:30","41079","46972"
"03.01.2021 08:30 - 03.01.2021 08:45","41881","47399"
"03.01.2021 08:45 - 03.01.2021 09:00","42765","48224"
"03.01.2021 09:00 - 03.01.2021 09:15","43538","49290"
"03.01.2021 09:15 - 03.01.2021 09:30","44610","50204"
"03.01.2021 09:30 - 03.01.2021 09:45","45355","51054"
"03.01.2021 09:45 - 03.01.2021 10:00","45743","51677"
"03.01.2021 10:00 - 03.01.2021 10:15","46733","52204"
"03.01.2021 10:15 - 03.01.2021 10:30","47728","53086"
"03.01.2021 10:30 - 03.01.2021 10:45","48165","53743"
"03.01.2021 10:45 - 03.01.2021 11:00","48638","54464"
"03.01.2021 11:00 - 03.01.2021 11:15","49379","55648"
"03.01.2021 11:15 - 03.01.2021 11:30","50290","56437"
"03.01.2021 11:30 - 03.01.2021 11:45","50770","57209"
"03.01.2021 11:45 - 03.01.2021 12:00","50966","57525"
"03.01.2021 12:00 - 03.01.2021 12:15","51174","57534"
"03.01.2021 12:15 - 03.01.2021 12:30","51129","57398"
"03.01.2021 12:30 - 03.01.2021 12:45","50524","57267"
"03.01.2021 12:45 - 03.01.2021 13:00","50062","57009"
"03.01.2021 13:00 - 03.01.2021 13:15","49881","56779"
"03.01.2021 13:15 - 03.01.2021 13:30","49688","56625"
"03.01.2021 13:30 - 03.01.2021 13:45","49285","56325"
"03.01.2021 13:45 - 03.01.2021 14:00","48601","55896"
"03.01.2021 14:00 - 03.01.2021 14:15","48243","55413"
"03.01.2021 14:15 - 03.01.2021 14:30","47990","55130"
"03.01.2021 14:30 - 03.01.2021 14:45","47585","55195"
"03.01.2021 14:45 - 03.01.2021 15:00","47762","55069"
"03.01.2021 15:00 - 03.01.2021 15:15","47482","55604"
"03.01.2021 15:15 - 03.01.2021 15:30","47555","55480"
"03.01.2021 15:30 - 03.01.2021 15:45","47594","55615"
"03.01.2021 15:45 - 03.01.2021 16:00","47767","55561"
"03.01.2021 16:00 - 03.01.2021 16:15","47791","55660"
"03.01.2021 16:15 - 03.01.2021 16:30","48383","56466"
"03.01.2021 16:30 - 03.01.2021 16:45","49298","57318"
"03.01.2021 16:45 - 03.01.2021 17:00","50327","58100"
"03.01.2021 17:00 - 03.01.2021 17:15","51396","59280"
"03.01.2021 17:15 - 03.01.2021 17:30","52185","60184"
"03.01.2021 17:30 - 03.01.2021 17:45","53034","60397"
"03.01.2021 17:45 - 03.01.2021 18:00","53293","60311"
"03.01.2021 18:00 - 03.01.2021 18:15","53815","60302"
"03.01.2021 18:15 - 03.01.2021 18:30","53546","60245"
"03.01.2021 18:30 - 03.01.2021 18:45","53481","59747"
"03.01.2021 18:45 - 03.01.2021 19:00","53242","59390"
"03.01.2021 19:00 - 03.01.2021 19:15","53187","58837"
"03.01.2021 19:15 - 03.01.2021 19:30","52623","58336"
"03.01.2021 19:30 - 03.01.2021 19:45","52325","57729"
"03.01.2021 19:45 - 03.01.2021 20:00","51891","57283"
"03.01.2021 20:00 - 03.01.2021 20:15","51623","56910"
"03.01.2021 20:15 - 03.01.2021 20:30","50754","56091"
"03.01.2021 20:30 - 03.01.2021 20:45","49989","55323"
"03.01.2021 20:45 - 03.01.2021 21:00","49273","54378"
"03.01.2021 21:00 - 03.01.2021 21:15","48995","54461"
"03.01.2021 21:15 - 03.01.2021 21:30","48629","54206"
"03.01.2021 21:30 - 03.01.2021 21:45","48046","53908"
"03.01.2021 21:45 - 03.01.2021 22:00","48370","53729"
"03.01.2021 22:00 - 03.01.2021 22:15","48991","54003"
"03.01.2021 22:15 - 03.01.2021 22:30","48585","53672"
"03.01.2021 22:30 - 03.01.2021 22:45","48016","52778"
"03.01.2021 22:45 - 03.01.2021 23:00","47118","51955"
"03.01.2021 23:00 - 03.01.2021 23:15","46511","51788"
"03.01.2021 23:15 - 03.01.2021 23:30","45796","51065"
"03.01.2021 23:30 - 03.01.2021 23:45","44965","50262"
"03.01.2021 23:45 - 04.01.2021 00:00","44460","49698"
"04.01.2021 00:00 - 04.01.2021 00:15","44784","48960"
"04.01.2021 00:15 - 04.01.2021 00:30","43981","48487"
"04.01.2021 00:30 - 04.01.2021 00:45","43645","47959"
"04.01.2021 00:45 - 04.01.2021 01:00","43168","47570"
"04.01.2021 01:00 - 04.01.2021 01:15","42447","46988"
"04.01.2021 01:15 - 04.01.2021 01:30","41903","46551"
"04.01.2021 01:30 - 04.01.2021 01:45","41738","46548"
"04.01.2021 01:45 - 04.01.2021 02:00","41332","46391"
"04.01.2021 02:00 - 04.01.2021 02:15","41213","46515"
"04.01.2021 02:15 - 04.01.2021 02:30","41157","46457"
"04.01.2021 02:30 - 04.01.2021 02:45","41108","46416"
"04.01.2021 02:45 - 04.01.2021 03:00","40995","46285"
"04.01.2021 03:00 - 04.01.2021 03:15","41016","46212"
"04.01.2021 03:15 - 04.01.2021 03:30","41477","46242"
"04.01.2021 03:30 - 04.01.2021 03:45","41261","46317"
"04.01.2021 03:45 - 04.01.2021 04:00","41597","46477"
"04.01.2021 04:00 - 04.01.2021 04:15","42245","46988"
"04.01.2021 04:15 - 04.01.2021 04:30","42620","47251"
"04.01.2021 04:30 - 04.01.2021 04:45","42932","47769"
"04.01.2021 04:45 - 04.01.2021 05:00","43239","48193"
"04.01.2021 05:00 - 04.01.2021 05:15","43692","48994"
"04.01.2021 05:15 - 04.01.2021 05:30","44305","49577"
"04.01.2021 05:30 - 04.01.2021 05:45","44979","50425"
"04.01.2021 05:45 - 04.01.2021 06:00","45743","51509"
"04.01.2021 06:00 - 04.01.2021 06:15","47311","53481"
"04.01.2021 06:15 - 04.01.2021 06:30","48889","54990"
"04.01.2021 06:30 - 04.01.2021 06:45","49781","56441"
"04.01.2021 06:45 - 04.01.2021 07:00","50679","58097"
"04.01.2021 07:00 - 04.01.2021 07:15","51766","60642"
"04.01.2021 07:15 - 04.01.2021 07:30","52975","61666"
"04.01.2021 07:30 - 04.01.2021 07:45","54282","62563"
"04.01.2021 07:45 - 04.01.2021 08:00","55182","63212"
"04.01.2021 08:00 - 04.01.2021 08:15","56543","64776"
"04.01.2021 08:15 - 04.01.2021 08:30","57440","65391"
"04.01.2021 08:30 - 04.01.2021 08:45","57669","65918"
"04.01.2021 08:45 - 04.01.2021 09:00","58106","66514"
"04.01.2021 09:00 - 04.01.2021 09:15","58533","66870"
"04.01.2021 09:15 - 04.01.2021 09:30","59210","67370"
"04.01.2021 09:30 - 04.01.2021 09:45","59711","67809"
"04.01.2021 09:45 - 04.01.2021 10:00","60048","68259"
"04.01.2021 10:00 - 04.01.2021 10:15","60420","68321"
"04.01.2021 10:15 - 04.01.2021 10:30","60724","68693"
"04.01.2021 10:30 - 04.01.2021 10:45","61370","68998"
"04.01.2021 10:45 - 04.01.2021 11:00","62220","69426"
"04.01.2021 11:00 - 04.01.2021 11:15","62427","70058"
"04.01.2021 11:15 - 04.01.2021 11:30","62930","70658"
"04.01.2021 11:30 - 04.01.2021 11:45","63374","71098"
"04.01.2021 11:45 - 04.01.2021 12:00","63260","71385"
"04.01.2021 12:00 - 04.01.2021 12:15","62886","71433"
"04.01.2021 12:15 - 04.01.2021 12:30","62939","71415"
"04.01.2021 12:30 - 04.01.2021 12:45","62876","71408"
"04.01.2021 12:45 - 04.01.2021 13:00","62743","71131"
"04.01.2021 13:00 - 04.01.2021 13:15","62630","71046"
"04.01.2021 13:15 - 04.01.2021 13:30","62301","70946"
"04.01.2021 13:30 - 04.01.2021 13:45","61803","70663"
"04.01.2021 13:45 - 04.01.2021 14:00","61105","70040"
"04.01.2021 14:00 - 04.01.2021 14:15","61030","70105"
"04.01.2021 14:15 - 04.01.2021 14:30","60786","69848"
"04.01.2021 14:30 - 04.01.2021 14:45","60754","69680"
"04.01.2021 14:45 - 04.01.2021 15:00","60475","69528"
"04.01.2021 15:00 - 04.01.2021 15:15","60414","69977"
"04.01.2021 15:15 - 04.01.2021 15:30","59873","69723"
"04.01.2021 15:30 - 04.01.2021 15:45","59912","69530"
"04.01.2021 15:45 - 04.01.2021 16:00","59777","69270"
"04.01.2021 16:00 - 04.01.2021 16:15","59842","69936"
"04.01.2021 16:15 - 04.01.2021 16:30","60281","70045"
"04.01.2021 16:30 - 04.01.2021 16:45","60743","70583"
"04.01.2021 16:45 - 04.01.2021 17:00","61363","71279"
"04.01.2021 17:00 - 04.01.2021 17:15","61839","71861"
"04.01.2021 17:15 - 04.01.2021 17:30","62562","72227"
"04.01.2021 17:30 - 04.01.2021 17:45","63434","72483"
"04.01.2021 17:45 - 04.01.2021 18:00","63833","72646"
"04.01.2021 18:00 - 04.01.2021 18:15","63599","72342"
"04.01.2021 18:15 - 04.01.2021 18:30","63725","72024"
"04.01.2021 18:30 - 04.01.2021 18:45","63433","71823"
"04.01.2021 18:45 - 04.01.2021 19:00","63578","71263"
"04.01.2021 19:00 - 04.01.2021 19:15","63025","70743"
"04.01.2021 19:15 - 04.01.2021 19:30","62095","70259"
"04.01.2021 19:30 - 04.01.2021 19:45","61810","69803"
"04.01.2021 19:45 - 04.01.2021 20:00","61162","68968"
"04.01.2021 20:00 - 04.01.2021 20:15","60032","67974"
"04.01.2021 20:15 - 04.01.2021 20:30","58670","66976"
"04.01.2021 20:30 - 04.01.2021 20:45","57794","65951"
"04.01.2021 20:45 - 04.01.2021 21:00","56993","64964"
"04.01.2021 21:00 - 04.01.2021 21:15","56515","64312"
"04.01.2021 21:15 - 04.01.2021 21:30","56230","63561"
"04.01.2021 21:30 - 04.01.2021 21:45","55286","62802"
"04.01.2021 21:45 - 04.01.2021 22:00","54946","61950"
"04.01.2021 22:00 - 04.01.2021 22:15","55114","61850"
"04.01.2021 22:15 - 04.01.2021 22:30","54513","61209"
"04.01.2021 22:30 - 04.01.2021 22:45","53909","60028"
"04.01.2021 22:45 - 04.01.2021 23:00","52959","59104"
"04.01.2021 23:00 - 04.01.2021 23:15","51919","58078"
"04.01.2021 23:15 - 04.01.2021 23:30","51087","57327"
"04.01.2021 23:30 - 04.01.2021 23:45","50345","56700"
"04.01.2021 23:45 - 05.01.2021 00:00","49886","56042"
"05.01.2021 00:00 - 05.01.2021 00:15","46496","54252"
"05.01.2021 00:15 - 05.01.2021 00:30","45804","53206"
"05.01.2021 00:30 - 05.01.2021 00:45","45453","52617"
"05.01.2021 00:45 - 05.01.2021 01:00","44930","52269"
"05.01.2021 01:00 - 05.01.2021 01:15","44292","52074"
"05.01.2021 01:15 - 05.01.2021 01:30","43746","51810"
"05.01.2021 01:30 - 05.01.2021 01:45","43364","51432"
"05.01.2021 01:45 - 05.01.2021 02:00","43272","51066"
"05.01.2021 02:00 - 05.01.2021 02:15","43327","50732"
"05.01.2021 02:15 - 05.01.2021 02:30","43287","50532"
"05.01.2021 02:30 - 05.01.2021 02:45","43341","50261"
"05.01.2021 02:45 - 05.01.2021 03:00","43451","50489"
"05.01.2021 03:00 - 05.01.2021 03:15","43416","50715"
"05.01.2021 03:15 - 05.01.2021 03:30","43979","50716"
"05.01.2021 03:30 - 05.01.2021 03:45","43954","50827"
"05.01.2021 03:45 - 05.01.2021 04:00","44056","50920"
"05.01.2021 04:00 - 05.01.2021 04:15","44401","51230"
"05.01.2021 04:15 - 05.01.2021 04:30","44789","51332"
"05.01.2021 04:30 - 05.01.2021 04:45","45025","51581"
"05.01.2021 04:45 - 05.01.2021 05:00","45501","51766"
"05.01.2021 05:00 - 05.01.2021 05:15","46193","53188"
"05.01.2021 05:15 - 05.01.2021 05:30","46704","53548"
"05.01.2021 05:30 - 05.01.2021 05:45","47343","54129"
"05.01.2021 05:45 - 05.01.2021 06:00","48211","55359"
"05.01.2021 06:00 - 05.01.2021 06:15","50197","57627"
"05.01.2021 06:15 - 05.01.2021 06:30","51806","59040"
"05.01.2021 06:30 - 05.01.2021 06:45","52943","60057"
"05.01.2021 06:45 - 05.01.2021 07:00","54274","61188"
"05.01.2021 07:00 - 05.01.2021 07:15","55760","63166"
"05.01.2021 07:15 - 05.01.2021 07:30","55233","63778"
"05.01.2021 07:30 - 05.01.2021 07:45","56169","64765"
"05.01.2021 07:45 - 05.01.2021 08:00","56969","65929"
"05.01.2021 08:00 - 05.01.2021 08:15","58094","66806"
"05.01.2021 08:15 - 05.01.2021 08:30","58437","67413"
"05.01.2021 08:30 - 05.01.2021 08:45","58523","67768"
"05.01.2021 08:45 - 05.01.2021 09:00","59096","68099"
"05.01.2021 09:00 - 05.01.2021 09:15","59108","68644"
"05.01.2021 09:15 - 05.01.2021 09:30","59826","69107"
"05.01.2021 09:30 - 05.01.2021 09:45","60540","69451"
"05.01.2021 09:45 - 05.01.2021 10:00","60988","69566"
"05.01.2021 10:00 - 05.01.2021 10:15","61167","69585"
"05.01.2021 10:15 - 05.01.2021 10:30","61511","70212"
"05.01.2021 10:30 - 05.01.2021 10:45","61785","70439"
"05.01.2021 10:45 - 05.01.2021 11:00","62218","70744"
"05.01.2021 11:00 - 05.01.2021 11:15","62517","71121"
"05.01.2021 11:15 - 05.01.2021 11:30","62845","71678"
"05.01.2021 11:30 - 05.01.2021 11:45","62925","72177"
"05.01.2021 11:45 - 05.01.2021 12:00","63127","72344"
"05.01.2021 12:00 - 05.01.2021 12:15","63152","72315"
