"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"02.01.2022 00:30 - 02.01.2022 00:45","45392","43271"
"02.01.2022 00:45 - 02.01.2022 01:00","45067","42711"
"02.01.2022 01:00 - 02.01.2022 01:15","44894","42664"
"02.01.2022 01:15 - 02.01.2022 01:30","44486","41904"
"02.01.2022 01:30 - 02.01.2022 01:45","44383","41503"
"02.01.2022 01:45 - 02.01.2022 02:00","44218","41624"
"02.01.2022 02:00 - 02.01.2022 02:15","44160","41522"
"02.01.2022 02:15 - 02.01.2022 02:30","44224","41215"
"02.01.2022 02:30 - 02.01.2022 02:45","44041","41113"
"02.01.2022 02:45 - 02.01.2022 03:00","44071","40930"
"02.01.2022 03:00 - 02.01.2022 03:15","43955","40852"
"02.01.2022 03:15 - 02.01.2022 03:30","43946","40878"
"02.01.2022 03:30 - 02.01.2022 03:45","43926","40992"
"02.01.2022 03:45 - 02.01.2022 04:00","44064","41131"
"02.01.2022 04:00 - 02.01.2022 04:15","44364","41338"
"02.01.2022 04:15 - 02.01.2022 04:30","44571","40902"
"02.01.2022 04:30 - 02.01.2022 04:45","44712","41136"
"02.01.2022 04:45 - 02.01.2022 05:00","44705","41184"
"02.01.2022 05:00 - 02.01.2022 05:15","44541","41377"
"02.01.2022 05:15 - 02.01.2022 05:30","44343","41042"
"02.01.2022 05:30 - 02.01.2022 05:45","44323","41142"
"02.01.2022 05:45 - 02.01.2022 06:00","44464","41161"
"02.01.2022 06:00 - 02.01.2022 06:15","43973","40742"
"02.01.2022 06:15 - 02.01.2022 06:30","44072","40637"
"02.01.2022 06:30 - 02.01.2022 06:45","44031","40776"
"02.01.2022 06:45 - 02.01.2022 07:00","44178","41140"
"02.01.2022 07:00 - 02.01.2022 07:15","44016","41726"
"02.01.2022 07:15 - 02.01.2022 07:30","44493","42322"
"02.01.2022 07:30 - 02.01.2022 07:45","45153","42993"
"02.01.2022 07:45 - 02.01.2022 08:00","45729","43701"
"02.01.2022 08:00 - 02.01.2022 08:15","46315","44645"
"02.01.2022 08:15 - 02.01.2022 08:30","46862","45427"
"02.01.2022 08:30 - 02.01.2022 08:45","47787","46322"
"02.01.2022 08:45 - 02.01.2022 09:00","48809","47074"
"02.01.2022 09:00 - 02.01.2022 09:15","49792","48181"
"02.01.2022 09:15 - 02.01.2022 09:30","50846","48678"
"02.01.2022 09:30 - 02.01.2022 09:45","51338","48948"
"02.01.2022 09:45 - 02.01.2022 10:00","51929","49425"
"02.01.2022 10:00 - 02.01.2022 10:15","52541","50326"
"02.01.2022 10:15 - 02.01.2022 10:30","53142","50518"
"02.01.2022 10:30 - 02.01.2022 10:45","53525","51402"
"02.01.2022 10:45 - 02.01.2022 11:00","53963","52055"
"02.01.2022 11:00 - 02.01.2022 11:15","54798","53048"
"02.01.2022 11:15 - 02.01.2022 11:30","55441","54159"
"02.01.2022 11:30 - 02.01.2022 11:45","55855","54664"
"02.01.2022 11:45 - 02.01.2022 12:00","55779","54772"
"02.01.2022 12:00 - 02.01.2022 12:15","55953","55292"
"02.01.2022 12:15 - 02.01.2022 12:30","55736","55182"
"02.01.2022 12:30 - 02.01.2022 12:45","55422","55054"
"02.01.2022 12:45 - 02.01.2022 13:00","55283","54754"
"02.01.2022 13:00 - 02.01.2022 13:15","55203","54228"
"02.01.2022 13:15 - 02.01.2022 13:30","54840","53851"
"02.01.2022 13:30 - 02.01.2022 13:45","54506","53555"
"02.01.2022 13:45 - 02.01.2022 14:00","54237","53791"
"02.01.2022 14:00 - 02.01.2022 14:15","54099","53526"
"02.01.2022 14:15 - 02.01.2022 14:30","53821","53277"
"02.01.2022 14:30 - 02.01.2022 14:45","53634","53020"
"02.01.2022 14:45 - 02.01.2022 15:00","53224","53008"
"02.01.2022 15:00 - 02.01.2022 15:15","53282","53595"
"02.01.2022 15:15 - 02.01.2022 15:30","53033","53583"
"02.01.2022 15:30 - 02.01.2022 15:45","52869","53802"
"02.01.2022 15:45 - 02.01.2022 16:00","53111","53975"
"02.01.2022 16:00 - 02.01.2022 16:15","53319","55040"
"02.01.2022 16:15 - 02.01.2022 16:30","53740","55572"
"02.01.2022 16:30 - 02.01.2022 16:45","54672","56132"
"02.01.2022 16:45 - 02.01.2022 17:00","55704","57394"
"02.01.2022 17:00 - 02.01.2022 17:15","56722","58552"
"02.01.2022 17:15 - 02.01.2022 17:30","57070","59016"
"02.01.2022 17:30 - 02.01.2022 17:45","57494","59457"
"02.01.2022 17:45 - 02.01.2022 18:00","57761","59567"
"02.01.2022 18:00 - 02.01.2022 18:15","58172","59352"
"02.01.2022 18:15 - 02.01.2022 18:30","58371","59344"
"02.01.2022 18:30 - 02.01.2022 18:45","58506","59462"
"02.01.2022 18:45 - 02.01.2022 19:00","58323","59112"
"02.01.2022 19:00 - 02.01.2022 19:15","58390","58585"
"02.01.2022 19:15 - 02.01.2022 19:30","58128","58165"
"02.01.2022 19:30 - 02.01.2022 19:45","57680","57795"
"02.01.2022 19:45 - 02.01.2022 20:00","57202","57028"
"02.01.2022 20:00 - 02.01.2022 20:15","56942","56376"
"02.01.2022 20:15 - 02.01.2022 20:30","56448","55672"
"02.01.2022 20:30 - 02.01.2022 20:45","55600","54936"
"02.01.2022 20:45 - 02.01.2022 21:00","55025","54229"
"02.01.2022 21:00 - 02.01.2022 21:15","54649","53604"
"02.01.2022 21:15 - 02.01.2022 21:30","54370","53183"
"02.01.2022 21:30 - 02.01.2022 21:45","54064","52722"
"02.01.2022 21:45 - 02.01.2022 22:00","54004","52285"
"02.01.2022 22:00 - 02.01.2022 22:15","54588","52465"
"02.01.2022 22:15 - 02.01.2022 22:30","54202","51943"
"02.01.2022 22:30 - 02.01.2022 22:45","53563","51076"
"02.01.2022 22:45 - 02.01.2022 23:00","52837","50059"
"02.01.2022 23:00 - 02.01.2022 23:15","51882","49454"
"02.01.2022 23:15 - 02.01.2022 23:30","51423","48521"
"02.01.2022 23:30 - 02.01.2022 23:45","50767","48034"
"02.01.2022 23:45 - 03.01.2022 00:00","50351","47285"
"03.01.2022 00:00 - 03.01.2022 00:15","49917","46386"
"03.01.2022 00:15 - 03.01.2022 00:30","49309","46081"
"03.01.2022 00:30 - 03.01.2022 00:45","48825","45715"
"03.01.2022 00:45 - 03.01.2022 01:00","48264","45076"
"03.01.2022 01:00 - 03.01.2022 01:15","47919","44728"
"03.01.2022 01:15 - 03.01.2022 01:30","47504","44185"
"03.01.2022 01:30 - 03.01.2022 01:45","47177","44022"
"03.01.2022 01:45 - 03.01.2022 02:00","46900","43452"
