"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"21.01.2022 10:15 - 21.01.2022 10:30","71801","76672"
"21.01.2022 10:30 - 21.01.2022 10:45","71866","76548"
"21.01.2022 10:45 - 21.01.2022 11:00","72132","76581"
"21.01.2022 11:00 - 21.01.2022 11:15","72462","76806"
"21.01.2022 11:15 - 21.01.2022 11:30","72938","77300"
"21.01.2022 11:30 - 21.01.2022 11:45","73231","77361"
"21.01.2022 11:45 - 21.01.2022 12:00","73170","76905"
"21.01.2022 12:00 - 21.01.2022 12:15","72864","76529"
"21.01.2022 12:15 - 21.01.2022 12:30","72834","76660"
"21.01.2022 12:30 - 21.01.2022 12:45","72788","76975"
"21.01.2022 12:45 - 21.01.2022 13:00","72568","76497"
"21.01.2022 13:00 - 21.01.2022 13:15","72592","76197"
"21.01.2022 13:15 - 21.01.2022 13:30","72199","75813"
"21.01.2022 13:30 - 21.01.2022 13:45","71626","75125"
"21.01.2022 13:45 - 21.01.2022 14:00","71223","74581"
"21.01.2022 14:00 - 21.01.2022 14:15","71063","74584"
"21.01.2022 14:15 - 21.01.2022 14:30","70881","74355"
"21.01.2022 14:30 - 21.01.2022 14:45","70915","73847"
"21.01.2022 14:45 - 21.01.2022 15:00","70551","73351"
"21.01.2022 15:00 - 21.01.2022 15:15","70292","73464"
"21.01.2022 15:15 - 21.01.2022 15:30","70090","73137"
"21.01.2022 15:30 - 21.01.2022 15:45","69835","73040"
"21.01.2022 15:45 - 21.01.2022 16:00","69681","72772"
"21.01.2022 16:00 - 21.01.2022 16:15","69476","72858"
"21.01.2022 16:15 - 21.01.2022 16:30","69484","72898"
"21.01.2022 16:30 - 21.01.2022 16:45","69912","73302"
"21.01.2022 16:45 - 21.01.2022 17:00","70465","73934"
"21.01.2022 17:00 - 21.01.2022 17:15","70783","74842"
"21.01.2022 17:15 - 21.01.2022 17:30","71483","75877"
"21.01.2022 17:30 - 21.01.2022 17:45","72078","76593"
"21.01.2022 17:45 - 21.01.2022 18:00","72324","76916"
"21.01.2022 18:00 - 21.01.2022 18:15","72209","76214"
"21.01.2022 18:15 - 21.01.2022 18:30","71923","75861"
"21.01.2022 18:30 - 21.01.2022 18:45","71584","75378"
"21.01.2022 18:45 - 21.01.2022 19:00","71464","75248"
"21.01.2022 19:00 - 21.01.2022 19:15","71498","74782"
"21.01.2022 19:15 - 21.01.2022 19:30","71082","73784"
"21.01.2022 19:30 - 21.01.2022 19:45","70546","73151"
"21.01.2022 19:45 - 21.01.2022 20:00","69959","72338"
"21.01.2022 20:00 - 21.01.2022 20:15","69177","71260"
"21.01.2022 20:15 - 21.01.2022 20:30","68278","69886"
"21.01.2022 20:30 - 21.01.2022 20:45","67585","68826"
"21.01.2022 20:45 - 21.01.2022 21:00","66992","67716"
"21.01.2022 21:00 - 21.01.2022 21:15","66377","67049"
"21.01.2022 21:15 - 21.01.2022 21:30","65816","66055"
"21.01.2022 21:30 - 21.01.2022 21:45","65142","65220"
"21.01.2022 21:45 - 21.01.2022 22:00","64244","64751"
"21.01.2022 22:00 - 21.01.2022 22:15","64613","64321"
"21.01.2022 22:15 - 21.01.2022 22:30","63637","63719"
"21.01.2022 22:30 - 21.01.2022 22:45","62770","63290"
"21.01.2022 22:45 - 21.01.2022 23:00","61707","62518"
"21.01.2022 23:00 - 21.01.2022 23:15","60707","61791"
"21.01.2022 23:15 - 21.01.2022 23:30","59952","60972"
"21.01.2022 23:30 - 21.01.2022 23:45","59343","60189"
"21.01.2022 23:45 - 22.01.2022 00:00","58805","59514"
"22.01.2022 00:00 - 22.01.2022 00:15","54264","57744"
"22.01.2022 00:15 - 22.01.2022 00:30","53848","56813"
"22.01.2022 00:30 - 22.01.2022 00:45","53302","56387"
"22.01.2022 00:45 - 22.01.2022 01:00","52791","55999"
"22.01.2022 01:00 - 22.01.2022 01:15","52025","55740"
"22.01.2022 01:15 - 22.01.2022 01:30","51639","55125"
"22.01.2022 01:30 - 22.01.2022 01:45","51326","54859"
"22.01.2022 01:45 - 22.01.2022 02:00","50937","54327"
"22.01.2022 02:00 - 22.01.2022 02:15","50366","54061"
"22.01.2022 02:15 - 22.01.2022 02:30","50131","53572"
"22.01.2022 02:30 - 22.01.2022 02:45","49966","53313"
"22.01.2022 02:45 - 22.01.2022 03:00","49812","53075"
"22.01.2022 03:00 - 22.01.2022 03:15","49943","53164"
"22.01.2022 03:15 - 22.01.2022 03:30","49761","52854"
"22.01.2022 03:30 - 22.01.2022 03:45","49698","52624"
"22.01.2022 03:45 - 22.01.2022 04:00","49679","52587"
"22.01.2022 04:00 - 22.01.2022 04:15","49529","52579"
"22.01.2022 04:15 - 22.01.2022 04:30","49383","52604"
"22.01.2022 04:30 - 22.01.2022 04:45","49345","52356"
"22.01.2022 04:45 - 22.01.2022 05:00","49378","52206"
"22.01.2022 05:00 - 22.01.2022 05:15","49578","52198"
"22.01.2022 05:15 - 22.01.2022 05:30","49372","52080"
"22.01.2022 05:30 - 22.01.2022 05:45","49188","51643"
"22.01.2022 05:45 - 22.01.2022 06:00","49191","51398"
"22.01.2022 06:00 - 22.01.2022 06:15","49517","52284"
"22.01.2022 06:15 - 22.01.2022 06:30","49944","52720"
"22.01.2022 06:30 - 22.01.2022 06:45","50350","52856"
"22.01.2022 06:45 - 22.01.2022 07:00","50767","53083"
"22.01.2022 07:00 - 22.01.2022 07:15","51862","53662"
"22.01.2022 07:15 - 22.01.2022 07:30","52545","54334"
"22.01.2022 07:30 - 22.01.2022 07:45","53236","54956"
"22.01.2022 07:45 - 22.01.2022 08:00","54229","55608"
"22.01.2022 08:00 - 22.01.2022 08:15","55163","57108"
"22.01.2022 08:15 - 22.01.2022 08:30","55987","57991"
"22.01.2022 08:30 - 22.01.2022 08:45","56566","58584"
"22.01.2022 08:45 - 22.01.2022 09:00","57327","59355"
"22.01.2022 09:00 - 22.01.2022 09:15","58090","59913"
"22.01.2022 09:15 - 22.01.2022 09:30","58597","60728"
"22.01.2022 09:30 - 22.01.2022 09:45","59000","61353"
"22.01.2022 09:45 - 22.01.2022 10:00","59459","61713"
"22.01.2022 10:00 - 22.01.2022 10:15","59594","62190"
"22.01.2022 10:15 - 22.01.2022 10:30","60001","62516"
"22.01.2022 10:30 - 22.01.2022 10:45","60197","62733"
"22.01.2022 10:45 - 22.01.2022 11:00","60504","63000"
"22.01.2022 11:00 - 22.01.2022 11:15","60737","63259"
"22.01.2022 11:15 - 22.01.2022 11:30","61316","63649"
"22.01.2022 11:30 - 22.01.2022 11:45","61577","64175"
"22.01.2022 11:45 - 22.01.2022 12:00","61378","64173"
"22.01.2022 12:00 - 22.01.2022 12:15","61263","63712"
"22.01.2022 12:15 - 22.01.2022 12:30","61275","63758"
"22.01.2022 12:30 - 22.01.2022 12:45","61288","63725"
"22.01.2022 12:45 - 22.01.2022 13:00","60939","63453"
"22.01.2022 13:00 - 22.01.2022 13:15","60774","62899"
"22.01.2022 13:15 - 22.01.2022 13:30","60061","62459"
"22.01.2022 13:30 - 22.01.2022 13:45","59691","61913"
"22.01.2022 13:45 - 22.01.2022 14:00","59534","61639"
"22.01.2022 14:00 - 22.01.2022 14:15","59366","61465"
"22.01.2022 14:15 - 22.01.2022 14:30","58981","61095"
"22.01.2022 14:30 - 22.01.2022 14:45","59050","60973"
"22.01.2022 14:45 - 22.01.2022 15:00","58664","60751"
"22.01.2022 15:00 - 22.01.2022 15:15","58349","60460"
"22.01.2022 15:15 - 22.01.2022 15:30","58168","60227"
"22.01.2022 15:30 - 22.01.2022 15:45","58089","60371"
"22.01.2022 15:45 - 22.01.2022 16:00","57978","60240"
"22.01.2022 16:00 - 22.01.2022 16:15","57833","60500"
"22.01.2022 16:15 - 22.01.2022 16:30","58087","60684"
"22.01.2022 16:30 - 22.01.2022 16:45","58446","60834"
"22.01.2022 16:45 - 22.01.2022 17:00","58822","61433"
"22.01.2022 17:00 - 22.01.2022 17:15","59555","62880"
"22.01.2022 17:15 - 22.01.2022 17:30","60473","63686"
"22.01.2022 17:30 - 22.01.2022 17:45","61186","64369"
"22.01.2022 17:45 - 22.01.2022 18:00","61615","64777"
"22.01.2022 18:00 - 22.01.2022 18:15","61541","64681"
"22.01.2022 18:15 - 22.01.2022 18:30","61518","64520"
"22.01.2022 18:30 - 22.01.2022 18:45","61432","64363"
"22.01.2022 18:45 - 22.01.2022 19:00","61090","64048"
"22.01.2022 19:00 - 22.01.2022 19:15","60774","63291"
"22.01.2022 19:15 - 22.01.2022 19:30","60174","62861"
"22.01.2022 19:30 - 22.01.2022 19:45","59815","62155"
"22.01.2022 19:45 - 22.01.2022 20:00","59030","61341"
"22.01.2022 20:00 - 22.01.2022 20:15","57740","60005"
"22.01.2022 20:15 - 22.01.2022 20:30","56782","59001"
"22.01.2022 20:30 - 22.01.2022 20:45","56206","58025"
"22.01.2022 20:45 - 22.01.2022 21:00","55491","57139"
"22.01.2022 21:00 - 22.01.2022 21:15","55059","56667"
"22.01.2022 21:15 - 22.01.2022 21:30","54857","56047"
"22.01.2022 21:30 - 22.01.2022 21:45","54515","55472"
"22.01.2022 21:45 - 22.01.2022 22:00","54256","54878"
"22.01.2022 22:00 - 22.01.2022 22:15","54645","55358"
"22.01.2022 22:15 - 22.01.2022 22:30","54412","54970"
"22.01.2022 22:30 - 22.01.2022 22:45","53820","54293"
"22.01.2022 22:45 - 22.01.2022 23:00","53168","53397"
"22.01.2022 23:00 - 22.01.2022 23:15","52474","52584"
"22.01.2022 23:15 - 22.01.2022 23:30","51850","52032"
"22.01.2022 23:30 - 22.01.2022 23:45","51349","50954"
"22.01.2022 23:45 - 23.01.2022 00:00","50519","50365"
"23.01.2022 00:00 - 23.01.2022 00:15","49366","50025"
"23.01.2022 00:15 - 23.01.2022 00:30","48816","49191"
"23.01.2022 00:30 - 23.01.2022 00:45","48239","48969"
"23.01.2022 00:45 - 23.01.2022 01:00","47599","48546"
"23.01.2022 01:00 - 23.01.2022 01:15","46566","48081"
"23.01.2022 01:15 - 23.01.2022 01:30","46237","47393"
"23.01.2022 01:30 - 23.01.2022 01:45","45998","46930"
"23.01.2022 01:45 - 23.01.2022 02:00","45691","46803"
"23.01.2022 02:00 - 23.01.2022 02:15","45104","46677"
"23.01.2022 02:15 - 23.01.2022 02:30","45070","46445"
"23.01.2022 02:30 - 23.01.2022 02:45","44889","46168"
"23.01.2022 02:45 - 23.01.2022 03:00","44918","45805"
"23.01.2022 03:00 - 23.01.2022 03:15","44736","46164"
"23.01.2022 03:15 - 23.01.2022 03:30","44552","46071"
"23.01.2022 03:30 - 23.01.2022 03:45","44548","46156"
"23.01.2022 03:45 - 23.01.2022 04:00","44692","46218"
"23.01.2022 04:00 - 23.01.2022 04:15","44739","46318"
"23.01.2022 04:15 - 23.01.2022 04:30","44568","46111"
"23.01.2022 04:30 - 23.01.2022 04:45","44629","46193"
"23.01.2022 04:45 - 23.01.2022 05:00","44543","46181"
"23.01.2022 05:00 - 23.01.2022 05:15","44680","46336"
"23.01.2022 05:15 - 23.01.2022 05:30","44555","46033"
"23.01.2022 05:30 - 23.01.2022 05:45","44405","45860"
"23.01.2022 05:45 - 23.01.2022 06:00","44597","45595"
"23.01.2022 06:00 - 23.01.2022 06:15","45070","45885"
"23.01.2022 06:15 - 23.01.2022 06:30","44976","46141"
"23.01.2022 06:30 - 23.01.2022 06:45","45085","46366"
"23.01.2022 06:45 - 23.01.2022 07:00","45385","46380"
"23.01.2022 07:00 - 23.01.2022 07:15","46506","47033"
"23.01.2022 07:15 - 23.01.2022 07:30","47305","47313"
"23.01.2022 07:30 - 23.01.2022 07:45","47858","48367"
"23.01.2022 07:45 - 23.01.2022 08:00","48513","49278"
"23.01.2022 08:00 - 23.01.2022 08:15","48937","49808"
"23.01.2022 08:15 - 23.01.2022 08:30","49872","50072"
"23.01.2022 08:30 - 23.01.2022 08:45","50872","51380"
"23.01.2022 08:45 - 23.01.2022 09:00","51728","52033"
"23.01.2022 09:00 - 23.01.2022 09:15","52744","52891"
"23.01.2022 09:15 - 23.01.2022 09:30","53577","53710"
"23.01.2022 09:30 - 23.01.2022 09:45","54222","54499"
"23.01.2022 09:45 - 23.01.2022 10:00","54665","55273"
"23.01.2022 10:00 - 23.01.2022 10:15","55051","55842"
"23.01.2022 10:15 - 23.01.2022 10:30","55482","56600"
"23.01.2022 10:30 - 23.01.2022 10:45","56079","56958"
"23.01.2022 10:45 - 23.01.2022 11:00","56654","57570"
"23.01.2022 11:00 - 23.01.2022 11:15","57275","58496"
"23.01.2022 11:15 - 23.01.2022 11:30","57885","59222"
"23.01.2022 11:30 - 23.01.2022 11:45","58415","59602"
"23.01.2022 11:45 - 23.01.2022 12:00","58374","59700"
"23.01.2022 12:00 - 23.01.2022 12:15","58511","59842"
"23.01.2022 12:15 - 23.01.2022 12:30","58585","59400"
"23.01.2022 12:30 - 23.01.2022 12:45","58763","58959"
"23.01.2022 12:45 - 23.01.2022 13:00","58422","58590"
"23.01.2022 13:00 - 23.01.2022 13:15","58036","58375"
"23.01.2022 13:15 - 23.01.2022 13:30","57318","57774"
"23.01.2022 13:30 - 23.01.2022 13:45","57049","57315"
"23.01.2022 13:45 - 23.01.2022 14:00","56809","56767"
"23.01.2022 14:00 - 23.01.2022 14:15","56925","56407"
"23.01.2022 14:15 - 23.01.2022 14:30","56907","56222"
"23.01.2022 14:30 - 23.01.2022 14:45","56944","55821"
"23.01.2022 14:45 - 23.01.2022 15:00","56331","55715"
"23.01.2022 15:00 - 23.01.2022 15:15","55842","55894"
"23.01.2022 15:15 - 23.01.2022 15:30","55753","55509"
"23.01.2022 15:30 - 23.01.2022 15:45","55341","55430"
"23.01.2022 15:45 - 23.01.2022 16:00","55571","55402"
"23.01.2022 16:00 - 23.01.2022 16:15","55498","55714"
"23.01.2022 16:15 - 23.01.2022 16:30","55780","56107"
"23.01.2022 16:30 - 23.01.2022 16:45","56203","56485"
"23.01.2022 16:45 - 23.01.2022 17:00","56787","57088"
"23.01.2022 17:00 - 23.01.2022 17:15","57756","58756"
"23.01.2022 17:15 - 23.01.2022 17:30","58708","59809"
"23.01.2022 17:30 - 23.01.2022 17:45","59501","60508"
"23.01.2022 17:45 - 23.01.2022 18:00","60155","61280"
"23.01.2022 18:00 - 23.01.2022 18:15","60561","61729"
"23.01.2022 18:15 - 23.01.2022 18:30","60712","61506"
"23.01.2022 18:30 - 23.01.2022 18:45","60681","61291"
"23.01.2022 18:45 - 23.01.2022 19:00","60597","60818"
"23.01.2022 19:00 - 23.01.2022 19:15","60789","60476"
"23.01.2022 19:15 - 23.01.2022 19:30","60533","59790"
"23.01.2022 19:30 - 23.01.2022 19:45","60244","59514"
"23.01.2022 19:45 - 23.01.2022 20:00","59484","59171"
"23.01.2022 20:00 - 23.01.2022 20:15","58710","58412"
"23.01.2022 20:15 - 23.01.2022 20:30","58002","57835"
"23.01.2022 20:30 - 23.01.2022 20:45","57313","56821"
"23.01.2022 20:45 - 23.01.2022 21:00","56820","56411"
"23.01.2022 21:00 - 23.01.2022 21:15","56662","56262"
"23.01.2022 21:15 - 23.01.2022 21:30","56325","55565"
"23.01.2022 21:30 - 23.01.2022 21:45","56033","55171"
"23.01.2022 21:45 - 23.01.2022 22:00","56144","55190"
"23.01.2022 22:00 - 23.01.2022 22:15","57165","55971"
"23.01.2022 22:15 - 23.01.2022 22:30","56651","55728"
"23.01.2022 22:30 - 23.01.2022 22:45","56105","55037"
"23.01.2022 22:45 - 23.01.2022 23:00","55484","54267"
"23.01.2022 23:00 - 23.01.2022 23:15","55251","53601"
"23.01.2022 23:15 - 23.01.2022 23:30","54934","52689"
"23.01.2022 23:30 - 23.01.2022 23:45","54401","51938"
"23.01.2022 23:45 - 24.01.2022 00:00","54159","51234"
"24.01.2022 00:00 - 24.01.2022 00:15","54738","50990"
"24.01.2022 00:15 - 24.01.2022 00:30","54405","50222"
"24.01.2022 00:30 - 24.01.2022 00:45","53999","49826"
"24.01.2022 00:45 - 24.01.2022 01:00","53496","49384"
"24.01.2022 01:00 - 24.01.2022 01:15","53208","49353"
"24.01.2022 01:15 - 24.01.2022 01:30","52620","48837"
"24.01.2022 01:30 - 24.01.2022 01:45","52775","48566"
"24.01.2022 01:45 - 24.01.2022 02:00","52664","48466"
"24.01.2022 02:00 - 24.01.2022 02:15","52046","48288"
"24.01.2022 02:15 - 24.01.2022 02:30","52130","48167"
"24.01.2022 02:30 - 24.01.2022 02:45","52383","48361"
"24.01.2022 02:45 - 24.01.2022 03:00","52263","48569"
"24.01.2022 03:00 - 24.01.2022 03:15","52442","48912"
"24.01.2022 03:15 - 24.01.2022 03:30","52533","48722"
"24.01.2022 03:30 - 24.01.2022 03:45","52737","48832"
"24.01.2022 03:45 - 24.01.2022 04:00","52976","49046"
"24.01.2022 04:00 - 24.01.2022 04:15","53343","49948"
"24.01.2022 04:15 - 24.01.2022 04:30","53819","50177"
"24.01.2022 04:30 - 24.01.2022 04:45","54351","50307"
"24.01.2022 04:45 - 24.01.2022 05:00","54812","51019"
"24.01.2022 05:00 - 24.01.2022 05:15","55906","52664"
"24.01.2022 05:15 - 24.01.2022 05:30","56560","53338"
"24.01.2022 05:30 - 24.01.2022 05:45","57855","54682"
"24.01.2022 05:45 - 24.01.2022 06:00","59243","56610"
"24.01.2022 06:00 - 24.01.2022 06:15","61108","59275"
"24.01.2022 06:15 - 24.01.2022 06:30","63478","61579"
"24.01.2022 06:30 - 24.01.2022 06:45","64819","63603"
"24.01.2022 06:45 - 24.01.2022 07:00","66018","65609"
"24.01.2022 07:00 - 24.01.2022 07:15","67935","67752"
"24.01.2022 07:15 - 24.01.2022 07:30","69185","68778"
"24.01.2022 07:30 - 24.01.2022 07:45","70266","69791"
"24.01.2022 07:45 - 24.01.2022 08:00","71047","70716"
"24.01.2022 08:00 - 24.01.2022 08:15","71598","71783"
"24.01.2022 08:15 - 24.01.2022 08:30","71975","72123"
"24.01.2022 08:30 - 24.01.2022 08:45","72127","72451"
"24.01.2022 08:45 - 24.01.2022 09:00","72605","72928"
"24.01.2022 09:00 - 24.01.2022 09:15","73286","72908"
"24.01.2022 09:15 - 24.01.2022 09:30","73615","73077"
"24.01.2022 09:30 - 24.01.2022 09:45","73747","73265"
"24.01.2022 09:45 - 24.01.2022 10:00","73717","73520"
"24.01.2022 10:00 - 24.01.2022 10:15","73643","73361"
"24.01.2022 10:15 - 24.01.2022 10:30","73677","73598"
"24.01.2022 10:30 - 24.01.2022 10:45","73847","73712"
"24.01.2022 10:45 - 24.01.2022 11:00","73954","73855"
"24.01.2022 11:00 - 24.01.2022 11:15","74139","74094"
"24.01.2022 11:15 - 24.01.2022 11:30","74618","74272"
"24.01.2022 11:30 - 24.01.2022 11:45","74738","74242"
"24.01.2022 11:45 - 24.01.2022 12:00","74562","74454"
"24.01.2022 12:00 - 24.01.2022 12:15","74448","74352"
"24.01.2022 12:15 - 24.01.2022 12:30","74434","74205"
"24.01.2022 12:30 - 24.01.2022 12:45","74376","74356"
"24.01.2022 12:45 - 24.01.2022 13:00","74331","74152"
"24.01.2022 13:00 - 24.01.2022 13:15","74306","74299"
"24.01.2022 13:15 - 24.01.2022 13:30","73644","73968"
"24.01.2022 13:30 - 24.01.2022 13:45","73239","73472"
"24.01.2022 13:45 - 24.01.2022 14:00","72735","72816"
"24.01.2022 14:00 - 24.01.2022 14:15","72473","72644"
"24.01.2022 14:15 - 24.01.2022 14:30","72483","72360"
"24.01.2022 14:30 - 24.01.2022 14:45","72654","72212"
"24.01.2022 14:45 - 24.01.2022 15:00","72135","71641"
"24.01.2022 15:00 - 24.01.2022 15:15","71769","71890"
"24.01.2022 15:15 - 24.01.2022 15:30","71354","71354"
"24.01.2022 15:30 - 24.01.2022 15:45","70940","71260"
"24.01.2022 15:45 - 24.01.2022 16:00","70187","71000"
"24.01.2022 16:00 - 24.01.2022 16:15","69697","70917"
"24.01.2022 16:15 - 24.01.2022 16:30","69749","70941"
"24.01.2022 16:30 - 24.01.2022 16:45","70005","71210"
"24.01.2022 16:45 - 24.01.2022 17:00","70215","71539"
"24.01.2022 17:00 - 24.01.2022 17:15","70662","72175"
"24.01.2022 17:15 - 24.01.2022 17:30","71499","73081"
"24.01.2022 17:30 - 24.01.2022 17:45","72019","74322"
"24.01.2022 17:45 - 24.01.2022 18:00","72184","74759"
"24.01.2022 18:00 - 24.01.2022 18:15","72215","74364"
"24.01.2022 18:15 - 24.01.2022 18:30","71994","74017"
"24.01.2022 18:30 - 24.01.2022 18:45","72149","73971"
"24.01.2022 18:45 - 24.01.2022 19:00","71539","73714"
"24.01.2022 19:00 - 24.01.2022 19:15","71295","73141"
"24.01.2022 19:15 - 24.01.2022 19:30","70766","72499"
"24.01.2022 19:30 - 24.01.2022 19:45","70390","71800"
"24.01.2022 19:45 - 24.01.2022 20:00","69697","71104"
"24.01.2022 20:00 - 24.01.2022 20:15","68591","69571"
"24.01.2022 20:15 - 24.01.2022 20:30","67629","68574"
"24.01.2022 20:30 - 24.01.2022 20:45","66609","67737"
"24.01.2022 20:45 - 24.01.2022 21:00","65835","66927"
"24.01.2022 21:00 - 24.01.2022 21:15","65229","65711"
"24.01.2022 21:15 - 24.01.2022 21:30","64688","64648"
"24.01.2022 21:30 - 24.01.2022 21:45","63838","64036"
"24.01.2022 21:45 - 24.01.2022 22:00","62825","63018"
"24.01.2022 22:00 - 24.01.2022 22:15","62670","62898"
"24.01.2022 22:15 - 24.01.2022 22:30","61964","62624"
"24.01.2022 22:30 - 24.01.2022 22:45","60858","61106"
"24.01.2022 22:45 - 24.01.2022 23:00","60050","60207"
"24.01.2022 23:00 - 24.01.2022 23:15","59301","59171"
"24.01.2022 23:15 - 24.01.2022 23:30","58716","58717"
"24.01.2022 23:30 - 24.01.2022 23:45","57783","58110"
"24.01.2022 23:45 - 25.01.2022 00:00","52446","57327"
"25.01.2022 00:00 - 25.01.2022 00:15","53437","56733"
"25.01.2022 00:15 - 25.01.2022 00:30","52880","56198"
"25.01.2022 00:30 - 25.01.2022 00:45","52423","55676"
"25.01.2022 00:45 - 25.01.2022 01:00","51848","55177"
"25.01.2022 01:00 - 25.01.2022 01:15","51390","54515"
"25.01.2022 01:15 - 25.01.2022 01:30","50987","54359"
"25.01.2022 01:30 - 25.01.2022 01:45","50935","53992"
"25.01.2022 01:45 - 25.01.2022 02:00","50636","53813"
"25.01.2022 02:00 - 25.01.2022 02:15","50304","53607"
"25.01.2022 02:15 - 25.01.2022 02:30","50260","53491"
"25.01.2022 02:30 - 25.01.2022 02:45","50444","53780"
"25.01.2022 02:45 - 25.01.2022 03:00","50460","53818"
"25.01.2022 03:00 - 25.01.2022 03:15","50554","54145"
"25.01.2022 03:15 - 25.01.2022 03:30","50781","53891"
"25.01.2022 03:30 - 25.01.2022 03:45","50776","54150"
"25.01.2022 03:45 - 25.01.2022 04:00","50946","54433"
"25.01.2022 04:00 - 25.01.2022 04:15","51330","55017"
"25.01.2022 04:15 - 25.01.2022 04:30","51539","55354"
"25.01.2022 04:30 - 25.01.2022 04:45","52050","55751"
"25.01.2022 04:45 - 25.01.2022 05:00","52547","56353"
"25.01.2022 05:00 - 25.01.2022 05:15","53537","57510"
"25.01.2022 05:15 - 25.01.2022 05:30","54241","58222"
"25.01.2022 05:30 - 25.01.2022 05:45","55092","59269"
"25.01.2022 05:45 - 25.01.2022 06:00","56201","60685"
"25.01.2022 06:00 - 25.01.2022 06:15","58770","62993"
"25.01.2022 06:15 - 25.01.2022 06:30","60595","64570"
"25.01.2022 06:30 - 25.01.2022 06:45","61952","66248"
"25.01.2022 06:45 - 25.01.2022 07:00","63109","67664"
"25.01.2022 07:00 - 25.01.2022 07:15","64681","69515"
"25.01.2022 07:15 - 25.01.2022 07:30","70632","70756"
"25.01.2022 07:30 - 25.01.2022 07:45","71624","71671"
"25.01.2022 07:45 - 25.01.2022 08:00","72433","72539"
"25.01.2022 08:00 - 25.01.2022 08:15","72871","73416"
"25.01.2022 08:15 - 25.01.2022 08:30","73160","73801"
"25.01.2022 08:30 - 25.01.2022 08:45","73228","74114"
"25.01.2022 08:45 - 25.01.2022 09:00","73695","73997"
"25.01.2022 09:00 - 25.01.2022 09:15","74279","73757"
"25.01.2022 09:15 - 25.01.2022 09:30","74602","73907"
"25.01.2022 09:30 - 25.01.2022 09:45","74787","74298"
"25.01.2022 09:45 - 25.01.2022 10:00","74720","74478"
"25.01.2022 10:00 - 25.01.2022 10:15","74461","74609"
"25.01.2022 10:15 - 25.01.2022 10:30","74529","74746"
"25.01.2022 10:30 - 25.01.2022 10:45","74640","74900"
"25.01.2022 10:45 - 25.01.2022 11:00","74816","75113"
"25.01.2022 11:00 - 25.01.2022 11:15","74927","75327"
"25.01.2022 11:15 - 25.01.2022 11:30","75369","75585"
"25.01.2022 11:30 - 25.01.2022 11:45","75606","75913"
"25.01.2022 11:45 - 25.01.2022 12:00","75561","76079"
"25.01.2022 12:00 - 25.01.2022 12:15","75296","75902"
"25.01.2022 12:15 - 25.01.2022 12:30","75181","75596"
"25.01.2022 12:30 - 25.01.2022 12:45","75213","75409"
"25.01.2022 12:45 - 25.01.2022 13:00","75153","75630"
"25.01.2022 13:00 - 25.01.2022 13:15","75051","75415"
"25.01.2022 13:15 - 25.01.2022 13:30","74355","74910"
"25.01.2022 13:30 - 25.01.2022 13:45","73923","74202"
"25.01.2022 13:45 - 25.01.2022 14:00","73411","73818"
"25.01.2022 14:00 - 25.01.2022 14:15","73068","73422"
"25.01.2022 14:15 - 25.01.2022 14:30","73029","73321"
"25.01.2022 14:30 - 25.01.2022 14:45","73081","73111"
"25.01.2022 14:45 - 25.01.2022 15:00","72618","72694"
"25.01.2022 15:00 - 25.01.2022 15:15","72214","72905"
"25.01.2022 15:15 - 25.01.2022 15:30","71733","72682"
"25.01.2022 15:30 - 25.01.2022 15:45","71300","72179"
"25.01.2022 15:45 - 25.01.2022 16:00","70588","72022"
"25.01.2022 16:00 - 25.01.2022 16:15","70176","71895"
"25.01.2022 16:15 - 25.01.2022 16:30","70268","71642"
"25.01.2022 16:30 - 25.01.2022 16:45","70498","71546"
"25.01.2022 16:45 - 25.01.2022 17:00","70690","72068"
"25.01.2022 17:00 - 25.01.2022 17:15","71215","72948"
"25.01.2022 17:15 - 25.01.2022 17:30","72078","73803"
"25.01.2022 17:30 - 25.01.2022 17:45","72617","74491"
"25.01.2022 17:45 - 25.01.2022 18:00","72781","74844"
"25.01.2022 18:00 - 25.01.2022 18:15","72807","74655"
"25.01.2022 18:15 - 25.01.2022 18:30","72511","74442"
"25.01.2022 18:30 - 25.01.2022 18:45","72594","74338"
"25.01.2022 18:45 - 25.01.2022 19:00","72082","74169"
"25.01.2022 19:00 - 25.01.2022 19:15","71783","73589"
"25.01.2022 19:15 - 25.01.2022 19:30","71073","72854"
"25.01.2022 19:30 - 25.01.2022 19:45","70613","72240"
"25.01.2022 19:45 - 25.01.2022 20:00","69935","71531"
"25.01.2022 20:00 - 25.01.2022 20:15","68827","69922"
"25.01.2022 20:15 - 25.01.2022 20:30","67896","69019"
"25.01.2022 20:30 - 25.01.2022 20:45","66908","68198"
"25.01.2022 20:45 - 25.01.2022 21:00","66109","66974"
"25.01.2022 21:00 - 25.01.2022 21:15","65377","66321"
"25.01.2022 21:15 - 25.01.2022 21:30","64851","65431"
"25.01.2022 21:30 - 25.01.2022 21:45","64039","64515"
"25.01.2022 21:45 - 25.01.2022 22:00","62990","63689"
"25.01.2022 22:00 - 25.01.2022 22:15","62913","63529"
"25.01.2022 22:15 - 25.01.2022 22:30","62243","62754"
"25.01.2022 22:30 - 25.01.2022 22:45","61162","61923"
"25.01.2022 22:45 - 25.01.2022 23:00","60310","60923"
